flex	bpm	eda
174	1	1
174	1	1
174	676	1
174	608	1
174	642	1
174	638	1
174	617	1
174	643	1
174	611	1
174	638	1
174	605	1
174	578	1
174	577	1
174	577	1
174	553	1
174	596	1
174	951	1
174	952	1
174	1	1
174	1	1
174	1	1
174	1	1
174	1	1
174	1	1
174	515	1
174	742	1
174	527	1
174	508	1
174	515	1
174	482	1
174	474	1
174	468	1
174	461	1
174	457	1
174	469	1
174	461	1
174	458	1
174	464	1
174	475	1
174	475	1
174	481	1
174	478	1
174	485	1
174	491	1
174	498	1
174	507	1
174	485	1
174	514	1
174	524	1
174	525	1
174	504	1
174	489	1
174	516	1
174	507	1
174	512	1
174	508	1
174	506	1
174	509	1
174	508	1
174	505	1
174	510	1
174	503	1
174	508	1
174	517	1
174	512	1
174	529	1
174	506	1
174	504	1
174	502	1
174	518	1
174	504	1
174	511	1
174	520	1
174	518	1
174	513	1
174	513	1
174	510	1
174	514	1
174	516	1
174	515	1
174	513	1
174	526	1
174	524	1
174	524	1
174	526	1
174	521	1
174	530	1
174	546	1
174	458	1
174	249	1
174	155	1
174	516	1
174	498	1
174	459	1
174	462	1
174	473	1
174	512	1
174	542	1
174	549	1
174	525	1
174	533	1
174	537	1
174	519	1
174	532	1
174	533	1
174	534	1
174	532	1
174	536	1
174	530	1
174	536	1
174	541	1
174	537	1
174	530	1
174	533	1
174	539	1
174	540	1
174	532	1
174	531	1
174	536	1
174	530	1
174	530	1
174	536	1
174	539	1
174	544	1
174	545	1
174	610	1
174	592	1
174	542	1
174	555	1
174	565	1
174	561	1
174	558	1
174	555	1
174	558	1
174	557	1
174	556	1
174	554	1
174	556	1
174	550	1
174	546	1
174	553	1
174	554	1
174	556	1
174	561	1
174	551	1
174	556	1
174	559	1
174	557	1
174	555	1
174	562	1
174	555	1
174	557	1
174	565	1
174	564	1
174	558	1
174	558	1
174	568	1
174	558	1
174	549	1
174	558	1
174	561	1
174	573	1
174	562	1
174	566	1
174	561	1
174	560	1
174	558	1
174	563	1
174	560	1
174	559	1
174	575	1
174	561	1
174	561	1
174	561	1
174	550	1
174	559	1
174	562	1
174	562	1
174	561	1
174	560	1
174	565	1
174	566	1
174	563	1
174	457	1
174	256	1
174	914	1
174	309	1
174	949	1
174	949	1
174	1	1
174	1	1
174	1	1
174	1	1
174	1	1
174	1	1
174	1	1
174	949	1
174	948	1
174	474	1
174	550	1
174	492	1
174	486	1
174	507	1
174	550	1
174	550	1
174	558	1
174	569	1
174	579	1
174	584	1
174	581	1
174	593	1
174	591	1
174	594	1
174	594	1
174	593	1
174	596	1
174	593	1
174	595	1
174	598	1
174	597	1
174	607	1
174	627	1
174	653	1
174	670	1
174	620	1
174	602	1
174	588	1
174	592	1
174	597	1
174	602	1
174	606	1
174	605	1
174	610	1
174	605	1
174	601	1
174	640	1
174	631	1
174	612	1
174	787	1
174	759	1
174	716	1
174	773	1
174	949	1
174	949	1
174	1	1
174	1	1
174	949	1
174	949	1
174	949	1
174	949	1
174	949	1
174	512	1
174	642	1
173	608	1
174	604	1
174	594	1
174	592	1
174	574	1
174	582	1
174	601	1
174	598	1
174	605	1
174	600	1
174	585	1
174	532	1
174	516	1
174	534	1
174	560	1
174	742	1
174	807	1
174	738	1
174	655	1
174	652	1
174	641	1
174	635	1
174	623	1
174	617	1
174	623	1
174	616	1
174	587	1
174	531	1
174	461	1
174	430	1
174	538	1
174	606	1
174	793	1
174	816	1
174	681	1
174	645	1
174	542	1
174	350	1
174	406	1
174	553	1
174	570	1
174	574	1
174	583	1
174	591	1
174	591	1
174	597	1
174	591	1
174	604	1
174	597	1
174	612	1
174	611	1
174	593	1
174	592	1
174	613	1
174	627	1
174	532	1
174	537	1
174	582	1
174	582	1
174	579	1
174	589	1
174	580	1
174	502	1
174	338	1
174	127	1
